date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:21	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://thecelestialsnft.com/robots.txt		(from )
02:35:21	133814/133814	---MCZ	200	added ('OK')	text/html	etag:22d198c18959243f1dbb19d19e17f91e	https://thecelestialsnft.com/	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/index.html	(from )
02:35:21	417/417	---MCZ	200	added ('OK')	application/manifest+json	etag:5ae543754539272b087538eb9efbcafd	https://thecelestialsnft.com/manifest.webmanifest	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/manifest.webmanifest	(from https://thecelestialsnft.com/)
02:35:22	32935/32935	---MCZ	200	added ('OK')	application/javascript	etag:10a43cb0ee1eaa6f42997455dea704ba	https://thecelestialsnft.com/sw.js	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/sw.js	(from https://thecelestialsnft.com/)
02:35:22	432956/432956	---M--	200	added ('OK')	image/jpeg	etag:3615109205	https://img1.wsimg.com/isteam/ip/5eeef051-b651-454c-b4a6-6c5d2a4fdd65/FINAL%20BANNER.jpg	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/img1.wsimg.com/isteam/ip/5eeef051-b651-454c-b4a6-6c5d2a4fdd65/FINAL%20BANNER.jpg	(from https://thecelestialsnft.com/)
02:35:23	55230/55230	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Apr%202022%2018:35:22%20GMT	https://thecelestialsnft.com/%22https://storage.googleapis.com/scriptslmt/dist/mint.js%22></script>	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/_https_/storage.googleapis.com/scriptslmt/dist/mint.js___/script_	(from https://thecelestialsnft.com/)
02:35:23	55230/55230	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Apr%202022%2018:35:23%20GMT	https://thecelestialsnft.com/%22https://storage.googleapis.com/scriptslmt/dist/mint.css%22>	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/_https_/storage.googleapis.com/scriptslmt/dist/mint.css__	(from https://thecelestialsnft.com/)
02:35:23	55230/55230	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Apr%202022%2018:35:23%20GMT	https://thecelestialsnft.com/%22//www.tickcounter.com/countdown/3140845/the-celestial-apes-minting-countdown%22	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/_/www.tickcounter.com/countdown/3140845/the-celestial-apes-minting-countdown_	(from https://thecelestialsnft.com/)
02:35:23	55230/55230	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Apr%202022%2018:35:23%20GMT	https://thecelestialsnft.com/%22//www.tickcounter.com/%22	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/_/www.tickcounter.com/_	(from https://thecelestialsnft.com/)
02:35:24	55230/55230	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Apr%202022%2018:35:23%20GMT	https://thecelestialsnft.com/%22https://play.idevgames.co.uk/embed/celestial-apes-defenders-%22	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/_https_/play.idevgames.co.uk/embed/celestial-apes-defenders-_	(from https://thecelestialsnft.com/)
02:35:24	55230/55230	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Apr%202022%2018:35:24%20GMT	https://thecelestialsnft.com/%22https://widgets.coingecko.com/coingecko-coin-ticker-widget.js%22></script>	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/thecelestialsnft.com/_https_/widgets.coingecko.com/coingecko-coin-ticker-widget.js___/script_	(from https://thecelestialsnft.com/)
02:35:28	59555/59555	---M-Z	200	added ('OK')	application/javascript	etag:%22e1f8fcfce1e3c7c6690d6ffd0fb4133c%22	http://img1.wsimg.com/blobby/go/5eeef051-b651-454c-b4a6-6c5d2a4fdd65/gpub/f6f71aad19f8fb59/script.js	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/img1.wsimg.com/blobby/go/5eeef051-b651-454c-b4a6-6c5d2a4fdd65/gpub/f6f71aad19f8fb59/script.js	(from https://thecelestialsnft.com/)
02:35:28	39127/39127	---M-Z	200	added ('OK')	application/javascript	etag:%22da22c057e1493e4407871ee2a4a050c2%22	http://img1.wsimg.com/blobby/go/5eeef051-b651-454c-b4a6-6c5d2a4fdd65/gpub/7b03fa209469c4bf/script.js	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/img1.wsimg.com/blobby/go/5eeef051-b651-454c-b4a6-6c5d2a4fdd65/gpub/7b03fa209469c4bf/script.js	(from https://thecelestialsnft.com/)
02:35:28	11891/11891	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252ef5c943baad21:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://thecelestialsnft.com/)
02:35:32	328621/328621	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2005%20Apr%202022%2012:49:06%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-PH	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/img1.wsimg.com/poly/v3/polyfill.minb319.js	(from https://thecelestialsnft.com/)
02:35:33	295930/295930	---M-Z	200	added ('OK')	application/javascript	etag:%22e7ddc1591a3f7309d4a376a338fd9a8d%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.21.12.js	G:/DESKTOP%202021%202.0/PICTURES/q/celstial/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.21.12.js	(from https://thecelestialsnft.com/)
